x coord.,y coord,yaw,time
[0],[0],[-0.07594843],Mon Mar 14 16:18:53 2022
[0.],[0.],[-6.44043024],Mon Mar 14 16:18:53 2022
[3.02561423],[-1.30320682],[-8.0184208],Mon Mar 14 16:18:53 2022
[3.6679053],[-1.58003348],[-8.44330376],Mon Mar 14 16:18:53 2022
[3.80702511],[-1.63922759],[-8.49419707],Mon Mar 14 16:18:53 2022
[3.83741426],[-1.65215657],[-8.46065483],Mon Mar 14 16:18:53 2022
[3.84417822],[-1.65513927],[-8.45053776],Mon Mar 14 16:18:53 2022
[3.84635822],[-1.65592515],[-8.44489013],Mon Mar 14 16:18:53 2022
[3.84703728],[-1.65658068],[-8.41739964],Mon Mar 14 16:18:53 2022
[3.84715185],[-1.65690112],[-8.42665448],Mon Mar 14 16:18:53 2022
[3.84745693],[-1.65705111],[-8.42685204],Mon Mar 14 16:18:53 2022
[3.84747713],[-1.65712662],[-8.42163971],Mon Mar 14 16:18:53 2022
[3.84776568],[-1.6576025],[-8.43184089],Mon Mar 14 16:18:53 2022
[3.84800656],[-1.65788121],[-8.44905864],Mon Mar 14 16:18:53 2022
[3.84830931],[-1.6579537],[-8.44644144],Mon Mar 14 16:18:53 2022
[3.84856711],[-1.65820982],[-8.45825838],Mon Mar 14 16:18:53 2022
[3.8487166],[-1.65827066],[-8.45815747],Mon Mar 14 16:18:53 2022
[3.84872894],[-1.65834906],[-8.4415542],Mon Mar 14 16:18:53 2022
[3.84888014],[-1.6582053],[-8.42623259],Mon Mar 14 16:18:54 2022
[3.84931011],[-1.65851553],[-8.41831947],Mon Mar 14 16:18:54 2022
[3.84920973],[-1.65805441],[-8.44361151],Mon Mar 14 16:18:54 2022
[3.84922122],[-1.65768335],[-8.48459951],Mon Mar 14 16:18:54 2022
[3.84888764],[-1.65654613],[-8.51466358],Mon Mar 14 16:18:54 2022
[3.84795974],[-1.65550719],[-8.51545787],Mon Mar 14 16:18:54 2022
[3.84712506],[-1.65397686],[-8.51474644],Mon Mar 14 16:18:54 2022
[3.84559232],[-1.65307285],[-8.62570083],Mon Mar 14 16:18:54 2022
[3.83681848],[-1.64727414],[-8.690235],Mon Mar 14 16:18:54 2022
[3.83323449],[-1.64564683],[-8.75555873],Mon Mar 14 16:18:54 2022
[3.82988885],[-1.64442107],[-8.81802698],Mon Mar 14 16:18:54 2022
[3.82730779],[-1.64224863],[-8.91307699],Mon Mar 14 16:18:54 2022
[3.823859],[-1.64042994],[-9.10568182],Mon Mar 14 16:18:54 2022
[3.81649114],[-1.63658474],[-9.19975597],Mon Mar 14 16:18:54 2022
[3.81073006],[-1.63416199],[-9.21402537],Mon Mar 14 16:18:54 2022
[3.80508142],[-1.63100262],[-9.20535917],Mon Mar 14 16:18:54 2022
[3.80014564],[-1.62857298],[-9.09838776],Mon Mar 14 16:18:54 2022
[3.79265869],[-1.62395814],[-8.98309624],Mon Mar 14 16:18:55 2022
[3.78819228],[-1.62178509],[-8.83573087],Mon Mar 14 16:18:55 2022
[3.78292919],[-1.61815786],[-8.70634903],Mon Mar 14 16:18:55 2022
[3.77197669],[-1.61183929],[-8.53283492],Mon Mar 14 16:18:55 2022
[3.75827836],[-1.60370005],[-8.41642463],Mon Mar 14 16:18:55 2022
[3.7510696],[-1.59892259],[-8.43994643],Mon Mar 14 16:18:55 2022
[3.74539157],[-1.58799758],[-8.60045009],Mon Mar 14 16:18:55 2022
[3.73818302],[-1.58319566],[-9.19440989],Mon Mar 14 16:18:55 2022
[3.72607793],[-1.57689897],[-9.74329899],Mon Mar 14 16:18:55 2022
[3.71538669],[-1.57235588],[-10.58805699],Mon Mar 14 16:18:55 2022
[3.69273233],[-1.56633738],[-10.81979062],Mon Mar 14 16:18:55 2022
[3.67860465],[-1.5622642],[-10.89703068],Mon Mar 14 16:18:55 2022
[3.67299628],[-1.5599217],[-11.05233557],Mon Mar 14 16:18:55 2022
[3.65788226],[-1.55280418],[-11.12028313],Mon Mar 14 16:18:55 2022
[3.65231651],[-1.55035144],[-11.21256599],Mon Mar 14 16:18:55 2022
